date,cases
2020-03-02,1
2020-03-13,1
2020-03-14,3
2020-03-17,5
2020-03-18,2
2020-03-19,5
2020-03-20,14
2020-03-21,15
2020-03-22,14
2020-03-23,17
2020-03-24,17
2020-03-25,33
2020-03-26,21
2020-03-27,26
2020-03-28,27
2020-03-29,19
2020-03-30,51
2020-03-31,30
2020-04-01,66
2020-04-02,37
2020-04-03,66
2020-04-04,30
2020-04-05,31
2020-04-06,39
2020-04-07,31
2020-04-08,29
2020-04-09,22
2020-04-10,16
2020-04-11,57
2020-04-12,31
2020-04-13,23
2020-04-14,8
2020-04-15,48
2020-04-16,40
2020-04-17,16
2020-04-18,19
2020-04-19,15
2020-04-20,13
2020-04-21,5
2020-04-22,5
2020-04-23,25
2020-04-24,16
2020-04-25,16
2020-04-26,12
2020-04-27,13
2020-04-28,27
2020-04-29,21
2020-04-30,31
2020-05-01,74
2020-05-02,37
2020-05-03,29
2020-05-04,19
2020-05-05,13
2020-05-06,22
2020-05-07,20
2020-05-08,21
2020-05-09,28
2020-05-10,20
2020-05-11,27
2020-05-12,18
2020-05-13,34
2020-05-14,31
2020-05-15,31
2020-05-16,31
2020-05-17,31
2020-05-18,17
2020-05-19,22
2020-05-20,68
2020-05-21,24
2020-05-22,33
2020-05-23,21
2020-05-24,77
2020-05-25,51
2020-05-26,21
2020-05-27,28
2020-05-28,56
2020-05-29,35
2020-05-30,81
2020-05-31,50
2020-06-01,33
2020-06-02,74
2020-06-03,113
2020-06-04,55
2020-06-05,102
2020-06-06,102
2020-06-07,93
2020-06-08,82
2020-06-09,93
2020-06-10,142
2020-06-11,117
2020-06-12,144
2020-06-13,170
2020-06-14,224
2020-06-15,182
2020-06-16,242
2020-06-17,221
2020-06-18,297
2020-06-19,397
2020-06-20,398
2020-06-21,352
2020-06-22,296
2020-06-23,733
2020-06-24,457
2020-06-25,673
2020-06-26,1114
2020-06-27,788
2020-06-28,412
2020-06-29,432
2020-06-30,703
2020-07-01,888
2020-07-02,671
2020-07-03,652
2020-07-04,626
2020-07-05,341
2020-07-06,666
2020-07-07,742
2020-07-08,565
2020-07-09,979
2020-07-10,690
2020-07-11,789
2020-07-12,664
2020-07-13,686
2020-07-14,500
2020-07-15,536
2020-07-16,932
2020-07-17,584
2020-07-18,622
2020-07-19,433
2020-07-20,411
2020-07-21,345
2020-07-22,542
2020-07-23,603
2020-07-24,594
2020-07-25,444
2020-07-26,399
2020-07-27,337
2020-07-28,440
2020-07-29,476
2020-07-30,376
2020-07-31,468
2020-08-01,523
2020-08-02,375
2020-08-03,357
2020-08-04,401
2020-08-05,370
2020-08-06,295
2020-08-07,406
2020-08-08,316
2020-08-09,139
2020-08-10,260
2020-08-11,192
2020-08-12,227
2020-08-13,258
2020-08-14,334
2020-08-15,209
2020-08-16,122
2020-08-17,240
2020-08-18,244
2020-08-19,208
2020-08-20,239
2020-08-21,272
2020-08-22,142
2020-08-23,93
2020-08-24,134
2020-08-25,199
2020-08-26,196
2020-08-27,220
2020-08-28,208
2020-08-29,230
2020-08-30,111
2020-08-31,313
2020-09-01,209
2020-09-02,154
2020-09-03,161
2020-09-04,279
2020-09-05,146
2020-09-06,114
2020-09-07,108
2020-09-08,136
2020-09-09,122
2020-09-10,214
2020-09-11,157
2020-09-12,143
2020-09-13,166
2020-09-14,162
2020-09-15,136
2020-09-16,241
2020-09-17,207
2020-09-18,243
2020-09-19,169
2020-09-20,150
2020-09-21,103
2020-09-22,163
2020-09-23,183
2020-09-24,144
2020-09-25,221
2020-09-26,101
2020-09-27,122
2020-09-28,174
2020-09-29,140
2020-09-30,154
2020-10-01,195
2020-10-02,207
2020-10-03,132
2020-10-04,136
2020-10-05,143
2020-10-06,143
2020-10-07,264
2020-10-08,225
2020-10-09,82
2020-10-10,228
2020-10-11,119
2020-10-12,196
2020-10-13,181
2020-10-14,154
2020-10-15,186
2020-10-16,276
2020-10-17,177
2020-10-18,86
2020-10-19,248
2020-10-20,135
2020-10-21,351
2020-10-22,219
2020-10-23,281
2020-10-24,115
2020-10-25,169
2020-10-26,285
2020-10-27,226
2020-10-28,205
2020-10-29,344
2020-10-30,139
2020-10-31,451
2020-11-01,174
2020-11-02,219
2020-11-03,223
2020-11-04,407
2020-11-05,326
2020-11-06,252
2020-11-07,406
2020-11-08,262
2020-11-09,239
2020-11-10,343
2020-11-11,376
2020-11-12,302
2020-11-13,150
2020-11-14,431
2020-11-15,266
2020-11-16,242
2020-11-17,452
2020-11-18,422
2020-11-19,468
2020-11-20,467
2020-11-21,231
2020-11-22,337
2020-11-23,332
2020-11-24,319
2020-11-25,461
2020-11-26,389
2020-11-27,356
2020-11-28,355
2020-11-29,192
2020-11-30,458
2020-12-01,509
2020-12-02,528
2020-12-03,437
2020-12-04,515
2020-12-05,502
2020-12-06,319
2020-12-07,402
2020-12-08,289
2020-12-09,925
2020-12-10,901
2020-12-11,703
2020-12-12,492
2020-12-13,536
2020-12-14,509
2020-12-15,501
2020-12-16,697
2020-12-17,950
2020-12-18,779
2020-12-19,490
2020-12-20,816
2020-12-21,522
2020-12-22,567
2020-12-23,923
2020-12-24,694
2020-12-25,412
2020-12-26,356
2020-12-27,420
2020-12-28,748
2020-12-29,658
2020-12-30,867
2020-12-31,1547
2021-01-01,793
2021-01-02,571
2021-01-03,560
2021-01-04,526
2021-01-05,1137
2021-01-06,1312
2021-01-07,1116
2021-01-08,1114
2021-01-09,671
2021-01-10,1006
2021-01-11,695
2021-01-12,823
2021-01-13,977
2021-01-14,970
2021-01-15,657
2021-01-16,771
2021-01-17,447
2021-01-18,581
2021-01-19,524
2021-01-20,839
2021-01-21,606
2021-01-22,855
2021-01-23,457
2021-01-24,493
2021-01-25,497
2021-01-26,400
2021-01-27,665
2021-01-28,518
2021-01-29,893
2021-01-30,433
2021-01-31,221
2021-02-01,556
2021-02-02,339
2021-02-03,418
2021-02-04,569
2021-02-05,345
2021-02-06,303
2021-02-07,225
2021-02-08,376
2021-02-09,392
2021-02-10,521
2021-02-11,470
2021-02-12,434
2021-02-13,356
2021-02-14,241
2021-02-15,332
2021-02-16,508
2021-02-17,292
2021-02-18,413
2021-02-19,428
2021-02-20,311
2021-02-21,209
2021-02-22,357
2021-02-23,556
2021-02-24,386
2021-02-25,355
2021-02-26,304
2021-02-27,294
2021-02-28,117
2021-03-01,428
2021-03-02,234
2021-03-03,397
2021-03-04,376
2021-03-05,254
2021-03-06,292
2021-03-07,174
2021-03-08,258
2021-03-09,352
2021-03-10,310
2021-03-11,351
2021-03-12,397
2021-03-13,243
2021-03-14,190
2021-03-15,347
2021-03-16,374
2021-03-17,343
2021-03-18,369
2021-03-19,362
2021-03-20,296
2021-03-21,149
2021-03-22,368
2021-03-23,410
2021-03-24,455
2021-03-25,486
2021-03-26,428
2021-03-27,396
2021-03-28,239
2021-03-29,255
2021-03-30,391
2021-03-31,636
2021-04-01,514
2021-04-02,456
